name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"F16_ref_104/encode_stddev",20,0.313771,0.273667,ns,,,,,
"F16_test_104/encode_mean",20,11.3874,11.3674,ns,,,,,
"F16_test_104/encode_median",20,11.2793,11.264,ns,,,,,
"F16_test_104/encode_stddev",20,0.292637,0.278595,ns,,,,,
"F16_ref_104/decode_mean",20,9.10163,9.08279,ns,,,,,
"F16_ref_104/decode_median",20,9.04208,9.03032,ns,,,,,
"F16_ref_104/decode_stddev",20,0.173601,0.16139,ns,,,,,
"F16_test_104/decode_mean",20,9.96298,9.94358,ns,,,,,
"F16_test_104/decode_median",20,9.87824,9.86412,ns,,,,,
"F16_test_104/decode_stddev",20,0.222823,0.210878,ns,,,,,
"F16_ref_127/encode_mean",20,17.7146,17.6495,ns,,,,,
"F16_ref_127/encode_median",20,17.4519,17.4262,ns,,,,,
"F16_ref_127/encode_stddev",20,0.591634,0.53185,ns,,,,,
"F16_test_127/encode_mean",20,16.3288,16.2819,ns,,,,,
"F16_test_127/encode_median",20,16.1904,16.1431,ns,,,,,
"F16_test_127/encode_stddev",20,0.316517,0.283193,ns,,,,,
"F16_ref_127/decode_mean",20,16.1942,16.144,ns,,,,,
"F16_ref_127/decode_median",20,16.0668,16.032,ns,,,,,
"F16_ref_127/decode_stddev",20,0.310197,0.290827,ns,,,,,
"F16_test_127/decode_mean",20,13.8718,13.8465,ns,,,,,
"F16_test_127/decode_median",20,13.7473,13.7305,ns,,,,,
"F16_test_127/decode_stddev",20,0.339538,0.323179,ns,,,,,
"F16_ref_128/encode_mean",20,13.4087,13.3797,ns,,,,,
"F16_ref_128/encode_median",20,13.2641,13.25,ns,,,,,
"F16_ref_128/encode_stddev",20,0.426762,0.382171,ns,,,,,
"F16_test_128/encode_mean",20,13.2587,13.2153,ns,,,,,
"F16_test_128/encode_median",20,13.1291,13.0936,ns,,,,,
"F16_test_128/encode_stddev",20,0.409068,0.373793,ns,,,,,
"F16_ref_128/decode_mean",20,11.1643,11.0246,ns,,,,,
"F16_ref_128/decode_median",20,10.779,10.7646,ns,,,,,
"F16_ref_128/decode_stddev",20,0.911432,0.521585,ns,,,,,
"F16_test_128/decode_mean",20,11.6842,11.6641,ns,,,,,
"F16_test_128/decode_median",20,11.563,11.5452,ns,,,,,
"F16_test_128/decode_stddev",20,0.278369,0.266376,ns,,,,,
